label,sp,t,rpm,rpm_sp,out
baseline,80.0,4738485,76.86,80.0,0.034
baseline,80.0,4738495,58.26,80.0,0.0633
baseline,80.0,4738505,63.96,80.0,0.0566
baseline,80.0,4738515,69.03,80.0,0.0502
baseline,80.0,4738525,51.94,80.0,0.0777
baseline,80.0,4738535,57.94,80.0,0.0715
baseline,80.0,4738545,63.08,80.0,0.0656
baseline,80.0,4738555,52.3,80.0,0.0841
baseline,80.0,4738565,57.05,80.0,0.0797
baseline,80.0,4738575,84.44,80.0,0.0395
baseline,80.0,4738585,118.65,80.0,-0.0143
baseline,80.0,4738595,142.49,80.0,-0.0555
baseline,80.0,4738605,110.13,80.0,-0.0117
baseline,80.0,4738615,81.15,80.0,0.0305
baseline,80.0,4738625,69.82,80.0,0.0483
baseline,80.0,4738635,69.2,80.0,0.0503
baseline,80.0,4738645,63.97,80.0,0.0594
baseline,80.0,4738655,53.67,80.0,0.077
baseline,80.0,4738665,50.9,80.0,0.0838
baseline,80.0,4738675,57.21,80.0,0.0768
baseline,80.0,4738685,60.22,80.0,0.0746
baseline,80.0,4738695,79.55,80.0,0.0467
baseline,80.0,4738705,102.59,80.0,0.0109
baseline,80.0,4738715,126.16,80.0,-0.0281
baseline,80.0,4738725,126.56,80.0,-0.0339
baseline,80.0,4738735,90.67,80.0,0.0173
baseline,80.0,4738745,81.07,80.0,0.0314
baseline,80.0,4738755,83.47,80.0,0.0276
baseline,80.0,4738765,71.49,80.0,0.0458
baseline,80.0,4738775,62.06,80.0,0.0615
baseline,80.0,4738785,63.78,80.0,0.0604
baseline,80.0,4738795,64.8,80.0,0.0603
baseline,80.0,4738805,68.82,80.0,0.0555
baseline,80.0,4738815,72.83,80.0,0.0505
baseline,80.0,4738825,96.14,80.0,0.0152
baseline,80.0,4738835,124.92,80.0,-0.0311
baseline,80.0,4738845,124.48,80.0,-0.0354
baseline,80.0,4738855,86.3,80.0,0.0196
baseline,80.0,4738865,63.17,80.0,0.0554
baseline,80.0,4738875,72.09,80.0,0.0432
baseline,80.0,4738885,65.32,80.0,0.0542
baseline,80.0,4738895,53.2,80.0,0.0746
baseline,80.0,4738905,51.1,80.0,0.0808
baseline,80.0,4738915,54.93,80.0,0.0777
baseline,80.0,4738925,46.16,80.0,0.0936
baseline,80.0,4738935,56.95,80.0,0.0803
baseline,80.0,4738945,74.29,80.0,0.0556
baseline,80.0,4738955,95.32,80.0,0.0235
baseline,80.0,4738965,120.72,80.0,-0.0175
baseline,80.0,4738975,136.21,80.0,-0.0459
baseline,80.0,4738985,113.56,80.0,-0.0165
baseline,80.0,4738995,77.86,80.0,0.0359
baseline,80.0,4739005,70.09,80.0,0.0483
baseline,80.0,4739015,70.23,80.0,0.0489
